frase,id_esperado
"Quiero la gacetilla del taller de vinculacion",SYN-001
"Necesito la gacetilla del taller sintetico de vinculasion, porfa",SYN-001
"Quiero la gacetilla del tayer sintetico de vinculasion",SYN-001
"La gacetilla de la actividad sintetica incompleta del 6 de agosto",SYN-002
"gacetilla actividad incompleta 06/08/2026",SYN-002
"Necesito la gacetilla de la jornda sintetika",SYN-003
"Necesito la gacetilla de la jornada sintetica",SYN-003
"Gacetilla para el encuentro sintetico incompleto",SYN-004
"Podrian mandarme la gacetilla del encuentro incompleto sintetico",SYN-004
"Quiero la gacetilla del seminario remoto",SYN-005
"la gacetilla del seminrio remoto sintetico",SYN-005
"La gacetilla del seminario sintetico remoto organizado por el area de prueba",SYN-005
